symbol,timestamp,open,high,low,close,volume,date
XXBTZUSD,1381017600,122.0000,122.0000,122.0000,122.0000,0.1000,06/10/2013
XXBTZUSD,1381104000,123.6100,123.6100,123.6100,123.6100,0.1000,07/10/2013
XXBTZUSD,1381190400,123.9100,124.1900,123.9000,124.1800,3.9916,08/10/2013
XXBTZUSD,1381276800,124.0169,124.0169,123.8400,123.8400,2.8230,09/10/2013
XXBTZUSD,1381363200,125.8500,125.8600,125.8500,125.8600,2.2000,10/10/2013
XXBTZUSD,1381536000,127.5000,127.5000,127.0000,127.0000,4.2000,12/10/2013
XXBTZUSD,1381622400,131.8408,131.8408,131.8408,131.8408,0.1000,13/10/2013
XXBTZUSD,1381708800,134.8000,135.5900,133.3673,135.5900,12.1958,14/10/2013
XXBTZUSD,1381795200,135.8000,153.0000,133.8797,133.8797,4.3000,15/10/2013
XXBTZUSD,1381881600,143.0000,146.1400,137.6376,138.0900,20.2290,16/10/2013
XXBTZUSD,1381968000,137.6245,144.7300,137.5200,143.7952,5.7770,17/10/2013
XXBTZUSD,1382054400,146.2399,153.8015,146.2399,149.0486,23.5510,18/10/2013
XXBTZUSD,1382140800,157.7400,171.2500,157.6400,165.5600,72.5450,19/10/2013
XXBTZUSD,1382227200,166.5263,166.5263,162.9810,162.9810,4.8484,20/10/2013
XXBTZUSD,1382313600,165.0000,176.6528,165.0000,176.3243,18.3027,21/10/2013
XXBTZUSD,1382400000,181.9700,194.2000,150.0000,150.0000,7.3759,22/10/2013
XXBTZUSD,1382486400,191.6220,203.4500,185.9029,203.4500,39.2200,23/10/2013
XXBTZUSD,1382572800,203.6741,207.3025,169.9201,193.0999,83.7210,24/10/2013
XXBTZUSD,1382659200,172.2700,186.8000,171.9700,186.0499,67.2000,25/10/2013
XXBTZUSD,1382745600,185.8000,185.8000,179.8656,184.5800,11.2000,26/10/2013
XXBTZUSD,1382832000,182.3000,191.3000,179.2362,191.0000,69.9074,27/10/2013
XXBTZUSD,1383004800,195.0000,195.0000,195.0000,195.0000,0.6256,29/10/2013
XXBTZUSD,1383091200,195.0000,203.9400,195.0000,203.7700,9.7227,30/10/2013
XXBTZUSD,1383177600,199.0000,202.2700,199.0000,202.1000,2.2600,31/10/2013
XXBTZUSD,1383264000,203.6000,207.9682,202.9000,202.9000,33.9805,01/11/2013
XXBTZUSD,1383350400,202.6800,204.2400,201.0400,203.5100,7.0556,02/11/2013
XXBTZUSD,1383436800,204.6620,209.7480,203.4700,209.7480,9.5853,03/11/2013
XXBTZUSD,1383523200,209.7480,229.9700,209.4001,226.9001,71.1754,04/11/2013
XXBTZUSD,1383609600,227.3949,250.1405,222.0524,244.9553,25.2214,05/11/2013
XXBTZUSD,1383696000,245.6902,269.4257,245.6902,263.7367,49.4608,06/11/2013
XXBTZUSD,1383782400,262.8628,348.4093,262.8628,289.6288,32.8000,07/11/2013
XXBTZUSD,1383868800,295.5160,330.6479,295.5160,330.6479,6.2253,08/11/2013
XXBTZUSD,1383955200,340.0000,350.0000,312.0100,338.6800,14.7233,09/11/2013
XXBTZUSD,1384041600,321.9202,400.0000,289.1898,317.0000,45.8385,10/11/2013
XXBTZUSD,1384128000,350.5738,362.5306,329.7286,340.7250,17.9758,11/11/2013
XXBTZUSD,1384214400,360.0000,500.0000,346.5551,355.0000,50.9990,12/11/2013
XXBTZUSD,1384300800,365.0000,406.0000,365.0000,398.0000,26.1439,13/11/2013
XXBTZUSD,1384387200,405.5547,425.8414,404.8000,425.6210,15.0963,14/11/2013
XXBTZUSD,1384473600,421.6210,435.0000,387.9124,410.0000,100.3777,15/11/2013
XXBTZUSD,1384560000,414.8989,444.5074,414.8989,438.0000,23.2968,16/11/2013
XXBTZUSD,1384646400,444.4400,491.5011,430.0000,491.5011,16.8261,17/11/2013
XXBTZUSD,1384732800,496.3650,700.0000,496.3650,700.0000,41.0977,18/11/2013
XXBTZUSD,1384819200,700.0000,800.0000,484.0000,587.5208,54.8913,19/11/2013
XXBTZUSD,1384905600,581.7009,636.9482,450.0000,591.8100,56.7709,20/11/2013
XXBTZUSD,1384992000,600.0000,720.0000,583.1105,670.0604,72.0650,21/11/2013
XXBTZUSD,1385078400,672.3167,810.0000,642.7006,796.5658,18.0944,22/11/2013
XXBTZUSD,1385164800,796.3486,904.0765,768.7623,830.7576,43.0737,23/11/2013
XXBTZUSD,1385251200,838.9787,838.9787,760.3800,808.3348,13.3150,24/11/2013
XXBTZUSD,1385337600,805.0000,818.3664,730.0000,801.5989,10.8530,25/11/2013
XXBTZUSD,1385424000,801.5989,900.0000,768.5803,893.8702,13.8466,26/11/2013
XXBTZUSD,1385510400,893.9000,1081.0918,890.0000,994.9500,46.4131,27/11/2013
XXBTZUSD,1385596800,994.9500,1088.4149,935.0806,1000.3289,33.0304,28/11/2013
XXBTZUSD,1385683200,1012.3930,1198.8009,1012.3930,1165.4250,34.8273,29/11/2013
XXBTZUSD,1385769600,1155.6222,1189.1014,1094.3828,1114.2400,22.7615,30/11/2013
XXBTZUSD,1385856000,1112.0160,1130.0000,770.0000,953.7294,52.5056,01/12/2013
XXBTZUSD,1385942400,952.8976,1059.0000,946.1451,1022.9544,36.8892,02/12/2013
XXBTZUSD,1386028800,1031.1544,1076.5209,995.4975,1063.4631,23.2709,03/12/2013
